Group,ADM,,,ARO,,,AUS,,,IND,,,JAP,,
gene-LOC107275379,0.012868034487185,0.018048794053084,0.712958131681189,0.004486009829041,0.006278620305399,0.714489746287578,0.013179049387469,0.011246677118124,1.17181717311243,0.013851599888812,0.01231359555006,1.12490294427002,0.009600754017883,0.018359779661769,0.522923161102804
gene-LOC107275391,0.011635597326296,0.039538974994546,0.294281713876025,0.00482792832623,0.018449456736114,0.261684037383062,0.005683631454903,0.012227056381245,0.464840537058555,0.005616723262292,0.014675767179609,0.382720929921569,0.013352659808193,0.047294695381598,0.282328910260586
gene-LOC107275393,0.015229262829452,0.02760246055447,0.55173569759835,0.00246466528171,0.007782399885737,0.31669733217215,0.002754325266301,0.006048281695503,0.455389713139397,0.0050743907551,0.010516380734961,0.482522541070718,0.012488781655695,0.02372988296051,0.526289222600802
gene-LOC107275406,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
gene-LOC107275420,0.001020728993549,0.004261107351793,0.239545477097414,0,NA,NA,0.001191612677182,0.005313192702858,0.224274319382643,0.001617022974747,0.004771215193997,0.338912186728024,0.001086434591195,0.00340337686079,0.319222535626714
gene-LOC107275438,0.001323569312715,0.004955932843631,0.267067644876559,0.000182981016157,NA,NA,0.000160942291459,NA,0.316773848790286,0.001023472630388,0.002067040041724,0.495139237619613,0.000626298519766,NA,NA
gene-LOC107275443,0.001322621440701,0.002512751060469,0.526363897128125,0.000600386956206,0.001126061953989,0.533173999955856,0.001364772747545,0.002210475299818,0.617411444342775,2.19715834187784E-05,NA,0.061640595623311,0,NA,NA
gene-LOC107275445,0.000275811767662,NA,0.663503207844088,5.73707922109589E-05,NA,0.331796744109473,0.000615815615613,NA,0.792985768225386,0.00022359248896,NA,0.663516104665803,0.000192326220573,NA,0.195363155555765
gene-LOC107275467,0.008017540696992,0.019704854110031,0.406881505045542,0.001142494670716,0.008419891789312,0.135689947009358,0.008311775263805,0.017913635875301,0.463991526994523,0.011389976014702,0.016207115067589,0.702776278640723,0.004875245217441,0.011325495427422,0.430466397579087
gene-LOC107275491,0.001260221799037,0.003575276057097,0.352482375881206,0.000914710989134,0.002354661228887,0.388468191480132,0,NA,NA,0,NA,NA,0.001663492774728,0.004591012273479,0.362336817162913
gene-LOC107275494,0.001889199225269,0.001426219409636,1.32462033015701,0.000112669124138,NA,NA,0.000170486174683,NA,0.349183111787785,0.001617150291404,0.001427136656653,1.13314326547872,0.000571998327872,NA,NA
gene-LOC107275496,0.010204464349319,0.034773572451433,0.293454587203278,0.000174048906236,0.006340771158549,0.027449170122006,0.003327344364692,0.013464834691427,0.247113643868981,0.006878652859309,0.034837161014019,0.197451590746483,0.010184682648128,0.033130138912043,0.307414426337524
gene-LOC107275497,0.007165087207937,0.010317468780992,0.694461728940423,0.002079560312428,0.003007432441774,0.691473658241743,0.007957388246264,0.01222485489125,0.65091883028887,0.008645588192375,0.012633289037255,0.684349749845816,6.29587462814991E-05,NA,0.194911200554258
gene-LOC107275519,0.018859019979089,0.061613867841806,0.306084013870209,0.000347241200812,NA,0.490952243050982,0.007887931882396,0.020304679072453,0.388478530207202,0.017132455121773,0.040819111505091,0.419716512438949,0.016213438280725,0.068773325027556,0.235751845271818
gene-LOC107275521,0.010817510314849,0.014585764486648,0.741648497392897,0.001046735276287,NA,NA,0.010496397474385,0.008450162236309,1.24215336710146,0.003555025087549,0.003772684297005,0.94230654029847,0.004808707252484,0.002917297408242,1.64834316820054
gene-LOC107275525,0.010020884821007,0.044721623098249,0.22407247605911,0.001431547284284,0.007300278925058,0.196094875138346,0.004478228317193,0.02499929171617,0.179134207802226,0.00830980542059,0.037260388104203,0.223019829996166,0.008207023322281,0.031658852125865,0.259233129794231
gene-LOC107275530,0.008624204818908,0.022563539636373,0.382218612766127,0.000106131545969,NA,NA,0.005374204161288,0.003033464600364,1.77163899016424,0.006795005811384,0.007025281318478,0.967221880995899,0.000636755052713,0.002017384857113,0.315633901219971
gene-LOC107275541,0.000586403629903,0.005279039000334,0.111081511211816,0.000594650129705,0.003292292685336,0.180618853346097,0.000633804621958,0.006789171829416,0.09335521885187,0.000582612512186,0.004893040738489,0.119069622209247,0.00022366372573,0.001911789219338,0.11699183334015
gene-LOC107275546,0.006329337930178,0.011644884687171,0.543529463812641,0,NA,0,0.005872513706408,0.013845347883144,0.424150679056414,0.003821585153946,0.009541755140418,0.40051176096082,0.002355935620548,0.0040898529224,0.576044093821762
gene-LOC107275597,0.007296811533663,0.015838221673356,0.460709016716056,0.001734847187228,0.005832664522777,0.297436477008587,0.002580691782223,0.007337682275948,0.351703942085595,0.008395982853759,0.017336349228826,0.484299361009596,0.00218818380744,0.004384966990198,0.499019448112444
gene-LOC107275613,0.000137869231034,NA,NA,0.000205044531746,NA,0.244165661439485,0.000850765543559,0.002068903749701,0.411215622612681,0.001029668112371,NA,NA,0,NA,NA
gene-LOC107275673,0.000337004243608,0.002465756896137,0.13667375082101,2.51634319200391E-05,NA,NA,0.000272148255572,0.003025445113565,0.089953129326886,0.000611660843662,0.006258229874566,0.097737036817405,3.82291412248191E-05,NA,0.159744421812137
gene-LOC107275679,0.002286054128525,NA,NA,0,NA,NA,0.000967303442673,NA,NA,0.000296553099774,NA,NA,0.000200206173858,NA,NA
gene-LOC107275681,0.000291480489876,0.005274410907658,0.055263136486568,0,NA,0,0.000359732155698,0.00452979841006,0.07941460593454,0.000547257442331,0.008724039859368,0.062729819115082,0.00086543089303,0.010134427633873,0.085395142606543
gene-LOC107275687,0.002220060426456,0.006523253064689,0.340330262284812,0.000457275249215,0.001271815477285,0.359545277897593,0.00146658253877,0.002828366917651,0.518526266736225,0.002460665754023,0.008770926908942,0.280547971676099,0.000716915929591,0.002090374014305,0.342960601636434
gene-LOC107275704,0.000236962025316,NA,0.669812658227848,0.001239493670886,NA,NA,0,0.002861535705756,0,0.001063291139241,0.002861535705756,0.371580594679186,0.002406075949367,NA,NA
gene-LOC107275705,0.018594676665006,0.038687983790399,0.480631835604218,0.018090531076423,0.033859658904885,0.534279778991309,0.017161141638007,0.043693105804807,0.392765433399764,0.011822232892088,0.0328734989447,0.359628067337008,0.01387463568819,0.027550697194916,0.503603795941339
gene-LOC107275709,0.001260043115953,0.003963480107201,0.317913319071269,0.001194731994499,0.002954898440504,0.404322523617904,0.001261623961686,0.002955291128474,0.426903444310382,0.001274435745198,0.005077428769067,0.251000221403753,0.001205240707391,0.001757152147832,0.68590571902246
gene-LOC107275711,6.08275589393702E-05,NA,0.540158861308099,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
gene-LOC107275713,0.001818750869384,0.006781972937582,0.268174303572534,0.000137360278841,0.0057401608691,0.023929691514536,0.001470997357073,0.004397642950677,0.334496768739945,0.002549383435268,0.004720248256153,0.540095201972643,0,0.005761676123963,0
gene-LOC107275721,0.003936210423274,0.00628953465407,0.62583492098692,0.000812702387129,0.002773723484938,0.293000506915181,0,0.001156951868263,0,0.007156251620042,0.00858474419021,0.833601032422474,0.000860515354106,0.001039763165057,0.827607077289326
gene-LOC107275725,0.000251290896767,0.001891088267777,0.13288163278717,0,NA,NA,0,NA,NA,0,NA,NA,0.00047613012019,0.002660776484581,0.178944049960218
gene-LOC107275744,0.000591096207403,NA,NA,0.000545627268372,NA,NA,6.33317365074984E-05,NA,NA,0,NA,NA,0.000675136158887,NA,0.882754593080933
gene-LOC107275747,0.000583705522104,0.007033972294863,0.082983767583316,0.000341551474161,0.004088197256846,0.083545742218918,5.76611669659175E-05,0.001366774249518,0.042187776793623,0.000112362070015,0.002930855503014,0.038337635512672,0.000443672673091,0.004206006304458,0.105485498825972
gene-LOC107275749,0.010811150549325,0.014792966989762,0.730830438329777,0.000210329035163,NA,0.490654216265656,0.001862789919016,0.00112815926044,1.65117637583347,0.00051105295721,NA,1.18773075229482,0.0131916079642,0.016636117701807,0.792949905780435
gene-LOC107275760,0.000696818616519,0.00221820530076,0.31413621465964,0.000453278095008,0.001377463572169,0.329067210317995,0.00018611971091,0.001253449305939,0.148486029732963,0.000904865483472,0.002473982926254,0.365752517476704,0.00084340581902,0.002321885221894,0.363241822234481
gene-LOC107275768,0.003004252732975,0.009090777988888,0.330472566445532,0.003485264988779,0.011683020190531,0.298318836391659,0.003254912650465,0.009225627187085,0.352812072768571,0.004206773036233,0.012059644831128,0.348830591210665,0.000399344713845,0.001180795422147,0.338199747691182
gene-LOC107275775,0.002670865561094,0.004719673839785,0.56590045239556,0.000818788343213,NA,NA,0.001849227412322,0.001864295225996,0.991917689074031,0.006711065007719,0.013059919883386,0.513867241732161,0.001054477595162,NA,1.2908325732482
gene-LOC107275782,0.010309469334219,0.020208411368704,0.510157337265269,0.017530541654401,0.033339403757376,0.525820491031506,0.011138840480028,0.018058946116295,0.616804569231041,0.010913847152623,0.024073942152309,0.453346904448583,0.000958571402326,0.002778975300475,0.34493699967828
gene-LOC107275800,0.008141503143184,0.014754889755017,0.551783393733339,0.001765172317744,0.002479247010275,0.71197920595583,0.0024763619991,0.00616255829447,0.401839930880903,0.011529287322482,0.01890895319693,0.609726366256675,0.002199611668212,0.004588185203458,0.479407776860192
gene-LOC107275806,0.00419834373958,0.001430931235328,NA,8.30438333033453E-05,NA,0.185340668103017,0.003589019711954,0.001518143928479,NA,0.001651611652031,NA,NA,0.002741781327099,NA,NA
gene-LOC107275818,0.001688761166098,0.001582168378829,1.06737132955942,0.001985231644328,0.001835969931363,1.08129856073076,0.000216273849199,NA,0.291543971645479,0.000313559794557,NA,0.484699575036393,0.002007331664458,0.001225341380879,1.63818156783137
gene-LOC107275840,0.000612525737023,0.004359580955164,0.140501058088441,2.51652518202866E-05,NA,0.117546255766402,0.000243362117735,0.001126713234186,0.215992952199988,0.000309698304359,0.001561947851743,0.198276980895167,0.001140844669727,0.007160809175146,0.159317842693881
gene-LOC107275844,0.00291215152958,0.002790824168211,1.04347366729551,0.001665921629493,0.001285534310911,1.29589822329458,0.00179674423393,0.002864444719118,0.627257430362874,0.002648350994711,0.002412739539431,1.09765308332283,0.0018984427496,0.003758085675773,0.505162179201642
gene-LOC107275859,0.004166122928357,NA,NA,0.001876258167912,NA,NA,0.000420853451651,NA,NA,0.001128930046941,NA,NA,0,NA,NA
gene-LOC107275864,0.001658728869283,0.001559440145548,1.06366946754483,0.001261399805049,0.003613694977376,0.349060950895381,0.00075453143711,0.00238568177828,0.316274971783787,0.00205422589283,0.002501449742821,0.821214137411909,0.001357051021561,0.002584249518781,0.525123836417083
gene-LOC107275876,0.000196773796112,0.00412073821589,0.047752073973885,0.000385981928128,NA,NA,0.000693188667872,0.002320675105485,0.298701298701299,0,0.002282627248289,0,0.000255268155652,NA,NA
gene-LOC107275880,0.00056432120516,0.006923116521969,0.081512596728559,0.000940033234152,0.007365654090691,0.127623863757003,0.000752087780227,0.003206281978411,0.234566948662211,0.000573269228615,0.004491957117289,0.127621260320709,0.000531632269827,0.007531070036619,0.070591863738107
gene-LOC107275883,0.003029083761762,0.002685130474144,1.12809555845809,0.000480221869514,NA,0.760967682074239,0.002937656250219,NA,NA,0.002155820106686,0.00557773731435,0.386504416609838,0.000109340174103,NA,NA
gene-LOC107275897,0.006042832599087,0.008660370195806,0.697756846700735,0.0011840072569,0.002600263637841,0.45534123527665,0.002859571139541,0.003832089148545,0.746217279581613,0.007933140188168,0.010942932247178,0.724955616006258,0.000432965513094,0.00158661349055,0.272886569837623
gene-LOC107275900,0.007598113102206,0.020440807395269,0.371712963939196,0.003904376038205,0.011110533657982,0.351412106600291,0.00464589516273,0.00485365809872,0.95719456711523,0.004784677131222,0.012302597783693,0.388916000941252,0.005700646317751,0.015108297931802,0.377318897435275
gene-LOC107275903,0.001504269641881,0.003025839658489,0.497141227447625,0.000539303664456,0.004197972001844,0.128467665867875,0.000484243066571,0.001837243176543,0.263570480355512,0.000846105584555,0.001239294750221,0.682731516779246,0.001055174754291,0.002347288449356,0.449529223636665
gene-LOC107275911,0.000846562853174,0.006508420604155,0.130071933678263,0.000875443555257,0.004604808295461,0.19011509254784,2.14717294324053E-05,NA,0.028855079278173,0.000206763091236,0.001879258881158,0.110023740373997,0,NA,0
gene-LOC107275931,0.00107387805828,0.004035524887709,0.266106166647747,1.74906206546739E-05,NA,0.336983042843274,0.001265896567906,0.003915153055858,0.323332587473588,0.00083758081692,0.003437241738424,0.243678181710978,0.000286714174381,0.001576803468968,0.181832536536069
gene-LOC107275945,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
gene-LOC107275946,0.000467560862952,NA,NA,0,NA,NA,0.00011977182927,NA,NA,0.00018890997684,NA,0.3115627237759,4.20799016409274E-05,NA,NA
gene-LOC107275948,0.000739746208539,0.001408701584173,0.525126270070555,0.000319720818945,0.001108542408853,0.288415505254135,0.000617069997547,0.001527945833714,0.403855937777274,0.000431779831467,0.002163647388767,0.199561090087572,0.000286808381701,NA,0.437947104140873
gene-LOC107275956,0.001930317728928,0.005590680985792,0.345274168537523,0.000155057534463,NA,0.290913611914516,0.000258091712178,NA,NA,0.000325699163257,NA,0.373387905765842,0.000103496300754,NA,NA
gene-LOC107275969,0.004638831849467,0.014497251804232,0.319980083957233,0,NA,0,0.004081112534059,0.008206341732803,0.497312038291775,0.004574855031434,0.01375285904504,0.332647561968866,0.002556892952288,0.00600238749856,0.425979321212065
gene-LOC107275986,0.001301299912539,0.008343850731412,0.155959155362153,0.002252058818922,0.006528608845761,0.344952327842969,0.00325441478143,0.010760522041458,0.302440231885704,0.000786561816926,0.003008790114306,0.261421297944896,0.000754283902192,0.002313919418162,0.325976737250224
gene-LOC107276016,0.001827863400514,0.002287679501233,0.799003269264238,0.000864201886679,NA,0.916385617889497,0.001558691148558,NA,NA,0.00039915798908,0.00125497600459,0.31806025582966,0.002183625988702,0.002602338171081,0.839101548356455
gene-LOC107276023,2.72899632063653E-05,NA,0.028782257990215,1.38222732110522E-05,NA,NA,1.38184054251059E-05,NA,0.016243773908595,2.72949927335829E-05,NA,NA,0.000165808645309,NA,0.235972415889533
gene-LOC107276036,0.006462541002409,0.041439824944836,0.155950007293999,0.005326821152588,0.037242244936441,0.143031687850152,0.009242347342716,0.06443352392003,0.143440041463308,0.009749750941532,0.052525414759358,0.185619684988676,0.001723528923545,0.009782240204461,0.176189593336586
gene-LOC107276038,0.006143618426047,0.01078910526939,0.569427980601638,0.004020226403215,0.006858329289281,0.586181595202486,0.001237094860624,0.006258016412625,0.197681626102476,0.002338866499078,0.007378405894115,0.316988050351571,0.001807923759668,0.003236135370237,0.55866753174044
gene-LOC107276050,0.00262670052038,NA,NA,0,NA,NA,0.002141465289264,NA,NA,0.000519928122826,NA,NA,0.000269661134484,NA,NA
gene-LOC107276077,0.000812946682538,0.003988690089084,0.203812947203705,0.00011027644514,0.001963404959818,0.056165919612454,0,0.003880246956162,0,0.000615710152031,0.004012175352671,0.15346042929573,0.000214897687965,0.001490014831166,0.144225200628775
gene-LOC107276089,0.004992782567576,0.002757180994784,1.81082873305052,0.002777992972688,0.005282864865502,0.525849712876295,0.005185141184189,0.001920862008902,NA,0.004839879815169,0.004779171100259,1.01270277076006,0.001361588506654,0.002013228746864,0.676320814897196
gene-LOC107276097,0.002802700963491,0.003826885383714,0.732371284339582,0.002323734663636,0.001839478881523,1.26325704903524,0.00081002744388,0.002159253444054,0.375142365112644,0.001118187221468,0.003434238457325,0.325599761158911,0.000332631231068,NA,0.899890617562486
gene-LOC107276114,0.004196928649441,0.006706652776642,0.625785885927846,0.002164800509576,0.003181066959652,0.68052654566349,0.002327148563284,0.004108551654385,0.566415797839744,0.003650112408539,0.004645323607811,0.78576063084219,0.000688874315246,0.001139463731637,0.604560106758266
gene-LOC107276129,0.000887947184218,0.001427215829307,0.622153402439196,0.00036418367376,0.00124431608701,0.292677783050152,0.001389955129589,NA,NA,0.000325401267476,NA,1.62910719193292,0.00029042101794,0.002594464291642,0.111938722331024
gene-LOC107276150,0.00654134845247,0.012202642506214,0.536059992672804,0.004863943725588,0.008524373009469,0.570592549174627,0.004652004669783,0.005248266138075,0.886388865845497,0.002576053128422,0.005767207941926,0.446672489419842,0.006939887684438,0.012414356877611,0.55902111989017
gene-LOC107276174,0.002501928725519,NA,15.1629505747233,0.002153296540421,NA,NA,0.001448266570864,NA,NA,0.001031885987685,NA,NA,0.002530998891444,NA,NA
gene-LOC107276188,0.000591596427193,0.002773018829952,0.213340212768498,0.000103044888379,0.002513763890176,0.040992270110083,2.60552371026577E-05,0.004537636486617,0.005742028295899,0.000197884439445,0.002338509190728,0.084619910937138,0.000463226604252,0.00173060952687,0.267666736522515
gene-LOC107276197,0.000614960846471,0.002360192024984,0.260555429372463,0,NA,0,0.00040862285019,0.003269047050394,0.124997543287279,0.000180812368519,0.001716350901392,0.105346970932802,0.00015119045457,0.001706173871507,0.088613743941979
gene-LOC107276206,0.001584474901892,0.0054718614517,0.289567803548739,0.001584393872937,0.004912017761521,0.322554589551537,0.001564024821925,0.004283072641349,0.365164206375167,0.001427907946388,0.004240470255821,0.336733395176647,0.000127655323227,0.001434521593448,0.088988080632646
gene-LOC107276207,0.000204135219933,0.004686411614895,0.043558960822814,0,0.001739738232764,0,0,0.00188375629839,0,0.000463567696479,0.002655407054366,0.174575003751982,3.01446945337621E-05,NA,0.037377124483234
gene-LOC107276224,0.003198024786038,0.003363783352401,0.950722579608422,0.003455063808112,0.003466266582475,0.996768057477204,0.001489811342249,0.001595465640405,0.933778393291584,0.002287736450228,0.001488846849163,1.53658279326314,0.002621717962759,0.004530792568716,0.578644447521461
gene-LOC107276225,0.00390555326184,0.004859484874687,0.803696968414116,0,NA,0,0.001108521665559,0.00155357768248,0.71352831471467,0.005951351819913,0.008128182680463,0.732187261762468,0.009939610755409,0.014055100912037,0.707188857455777
gene-LOC107276242,0.001977972825582,0.005800033488289,0.341027828473058,0.002433357030732,0.008161892023503,0.298136390891324,0.001387514807729,0.004500099764409,0.308329788308822,0.003218531841967,0.005756322357272,0.559129882276477,0.000431599308487,0.005300077655298,0.081432638643599
gene-LOC107276244,0.000487016339138,0.002293195324119,0.212374556155661,0.001489776046738,0.002234311063521,0.66677199565518,0.001008872439055,0.003204760045027,0.314804361287586,0.000157056426968,NA,0.236704035772151,0.001109985047434,0.001273615552643,0.871522843082331
gene-LOC107276245,0.001655118927619,0.001227126996122,1.348775581378,0,0.003072873610857,0,0.000859998979223,0.002077063545003,0.414045579535527,0.001030253677561,0.001872566264038,0.55018276113725,0.001749183254542,NA,NA
gene-LOC107276253,0.00282805009011,0.015370689010589,0.183989806062784,0,NA,0,0.002997315144573,0.012507702487307,0.239637547152663,0.003128278420021,0.007640224236921,0.409448508710418,0.00039256715934,0.004236371732078,0.092665890570431
gene-LOC107276270,0.003101420488203,0.003132062339361,0.990216717345093,2.11267605633803E-05,NA,NA,0.001533082064839,0.001625786751464,0.942978569273722,0.002575933072462,0.002151875317436,1.19706427765139,0.000166875840898,0.001248286103919,0.133683969062741
gene-LOC107276285,0.00098082357552,NA,NA,0,NA,NA,0.000160892195353,NA,NA,0.000313533508894,NA,0.547249961698631,0.001056112872063,NA,NA
gene-LOC107276287,0.000850507906509,0.002034763572282,0.417988565401551,0,NA,NA,0.000154262108793,0.004397945404293,0.035075949019762,0.000507686900376,NA,0.581671395495328,0.000296711986126,NA,NA
gene-LOC107276296,0.001401942966134,0.005940182250983,0.236010093108095,0.000137102540913,NA,0.88874041616201,0.004458955121839,0.009526962904853,0.468035318954392,0.001242464239482,0.003694053641654,0.336341688564474,0.00139270967887,0.003556849235104,0.391557130148946
gene-LOC107276324,0.000932227820489,0.006585287164546,0.141562212428311,0.000316035304952,0.002974370295677,0.106252844647877,0.000227502890358,0.001360447475838,0.167226515098029,7.71556662552522E-05,NA,0.095969839280781,0.001043901084562,0.006584114034109,0.158548451493069
gene-LOC107276328,0.003112175666326,0.006148589185627,0.506160937471851,0.001434486072098,0.00144484609637,0.992829669334687,0.002272380523782,0.005742699405879,0.39569901942909,0.002047558303078,0.00302212093438,0.677523615876648,0.003105210680875,0.007891901612024,0.393467992067146
gene-LOC107276333,0.011126158029109,0.030255705999373,0.367737511375175,0.011282220388536,0.028010426217546,0.402786458903243,0.009374186952877,0.025276780720794,0.370861584646534,0.009559866276915,0.026325998288089,0.363134046135694,0.009176149508881,0.019531908902128,0.469803005679656
gene-LOC107276354,0.001707786506691,0.003132940385772,0.545106607979803,0.001064796541247,0.002586865191988,0.4116165560328,0.000651211412358,0.004336269763718,0.150177790553147,0.002003824741275,0.003275961720884,0.611675261191453,0.000190919805115,NA,0.738083728125302
gene-LOC107276369,0.001129507803695,0.001858095264109,0.607884765390026,0.000448722309964,NA,NA,0.000537192008941,NA,1.05409645561389,6.07969071522106E-05,NA,0.141978844464811,0.001173185771942,0.001636906685975,0.716709010961555
gene-LOC107276383,0.000892097829009,0.001610585234535,0.553896689154188,0.000923708518645,0.003386573000199,0.27275612207119,0.001549382878497,0.003048578434621,0.50823126638344,0.001089464605339,0.004811871935276,0.226411803970069,0.00039474723019,0.001729736894426,0.228212297177814
gene-LOC107276384,0.001819440349706,0.00259441284169,0.701291760690064,0.000763871017396,0.001671321315875,0.457046176663078,0.002236832632165,0.001671193621998,1.33846407904015,0.000480570411583,NA,0.544894392314313,0.002323135612741,0.002714449502956,0.855840423706774
gene-LOC107276391,0.003376892184076,0.0246728917304,0.136866493841693,0.000700867058677,0.003436160555755,0.203968076376254,0.000481072792327,0.004267567597604,0.112727632620744,0.003787967502668,0.023238530003271,0.1630037486078,0.004153160776507,0.021246636044948,0.195473804310499
gene-LOC107276405,0.000508898839567,0.005574107882392,0.091296912493313,0.000223572281384,0.00192321734611,0.116249097813365,0.00025897168311,0.003864687304917,0.067009737833129,0,0.004920617893156,0,9.19840969716792E-05,NA,0.548996272678601
gene-LOC107276443,0.000121445396599,NA,NA,0,NA,NA,8.0619071785082E-05,NA,NA,0.000157116661188,NA,0.590773753439114,0.000361762091467,NA,NA
gene-LOC107276446,0.00153542966131,0.001197094098743,1.28263071626737,0.000127643123819,NA,0.402776918927718,0.000605004015557,NA,10.7411908752063,0.000593889641116,NA,1.35088404350247,1.92800507708003E-05,NA,0.056981922274617
gene-LOC107276471,0,NA,0,0.000139323862486,NA,NA,0.000570691975184,NA,NA,0,NA,0,0,NA,NA
gene-LOC107276483,0,NA,NA,0,NA,NA,0,NA,NA,9.82318271119844E-05,NA,NA,0,NA,NA
gene-LOC107276490,0.000817565728359,0.002860296917404,0.285832468435317,0,0.004818814591815,0,0.000287219177433,0.003823066541655,0.075127956655625,0.001156268535507,0.002903487793266,0.398234336713591,0.000212536832936,0.003090205210833,0.068777578974765
gene-LOC107276505,0.010893447493573,0.015771935292999,0.690685530418606,0.010720912020434,0.017298752988817,0.619750569729771,0.002904656248504,0.006023891534296,0.482189334247835,0.002029748712003,0.005363297936579,0.378451604964893,0.009914297157815,0.014028826138022,0.706708961981067
gene-LOC107276507,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
gene-LOC107276508,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
gene-LOC107276509,0.003590299671895,0.00966301243498,0.371550765980388,0.001697285521836,0.004979486063338,0.340855562250096,0.003784504399079,0.00932732944152,0.405743618557374,0.001151934659937,0.002129783061438,0.540869481401415,0.001698704442948,0.004968507920335,0.341894280976332
gene-LOC107276513,0.004532494030878,0.006010941275953,0.754040644018676,0.001261962987085,0.003425932609033,0.368356045229104,0.000939928048057,0.001791875757562,0.524549787612692,0.000322980473987,0.001398948532232,0.230873735913072,0.001615490468749,0.001636511825593,0.987154778526547
gene-LOC107276531,0.000374564186324,NA,NA,0,NA,NA,0.000752016050572,NA,NA,0.000721008488843,NA,NA,0,NA,0
gene-LOC107276545,0.00528451788059,0.009139818784187,0.578186286333491,0.004446765614922,0.007912368846202,0.562001810248819,0.009623944938505,0.01959062742418,0.491252512240939,0.007648939585151,0.012819068470632,0.596684509695419,0.0010675176756,0.001004625016963,1.06260311815332
gene-LOC107276561,0.003611769906282,0.005393765215624,0.669619414619617,0.001865070049761,0.002337725660101,0.797813910157501,0.001218560265149,0.006912225142955,0.176290592384898,0.000600447073208,NA,1.15329652730101,0.001889238297985,0.004505470928985,0.419320938424218
gene-LOC107276570,0.002472165438196,0.003343177445045,0.73946581622816,0.001925752703415,0.001524836284875,1.26292423817354,0.001463636828096,NA,NA,0.002718266804171,0.005463324584353,0.497548106871833,0.00112949497128,0.001726992781924,0.654024141329235
gene-LOC107276583,0.003486318907861,0.005507778529327,0.632980953990399,0,0.001524480966878,0,0,0.002403460983817,0,0.000176405533706,0.001524756691415,0.115694218427826,0.001937828745511,NA,NA
gene-LOC107276602,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
